Time,Z
0,1
1440,0.96474359
2880,0.911302983
4320,0.895833333
5760,0.826923077
7200,0.742543171
8640,0.661538462
10080,0.628461538
11520,0.595384615
12960,0.572485207
14400,0.562307692
15840,0.486425339
17280,0.453996983
18720,0.413461538
20160,0.398148148
21600,0.356711916
23040,0.336894587
24480,0.291855204
25920,0.2808418
27360,0.249637155
28800,0.249637155
30240,0.218432511
31680,0.214387464
33120,0.18041958
34560,0.199602122
36000,0.162673392
37440,0.153133903
38880,0.147664835
40320,0.140156454
41760,0.12027972
43200,0.09020979
44640,0.118131868
46080,0.112125163
47520,0.085543767
48960,0.088598901
50400,0.088598901
51840,0.081336696
53280,0.084093872
54720,0.053349876
56160,0.052503053
57600,0.026674938
59040,0.055128205
60480,0.025443787
61920,0.026674938
