Arrival Time	full	INorm(full)
(ms)	(arb. units)	(max)
13.500	336.000	0.004
13.600	167.000	0.002
13.700	0.000	0.000
13.800	0.000	0.000
13.900	84.000	0.001
14.000	345.000	0.004
14.100	165.000	0.002
14.200	0.000	0.000
14.300	2303.000	0.025
14.400	13660.000	0.150
14.500	33357.000	0.367
14.600	49117.000	0.541
14.700	42131.000	0.464
14.800	21449.000	0.236
14.900	8258.000	0.091
15.000	3660.000	0.040
15.100	3232.000	0.036
15.200	5220.000	0.057
15.300	11708.000	0.129
15.400	43798.000	0.482
15.500	75041.000	0.826
15.600	90868.000	1.000
15.700	67203.000	0.740
15.800	31167.000	0.343
15.900	12847.000	0.141
16.000	6817.000	0.075
16.100	4818.000	0.053
16.200	2294.000	0.025
16.300	2849.000	0.031
16.400	1630.000	0.018
16.500	1992.000	0.022
16.600	1093.000	0.012
16.700	505.000	0.006
16.800	907.000	0.010
16.900	789.000	0.009
17.000	926.000	0.010
17.100	844.000	0.009
17.200	578.000	0.006
17.300	345.000	0.004
17.400	851.000	0.009
