Arrival Time	full	INorm(full)
(ms)	(arb. units)	(max)
14.000	0.000	0.000
14.100	0.000	0.000
14.200	0.000	0.000
14.300	0.000	0.000
14.400	471.000	0.004
14.500	5355.000	0.045
14.600	21591.000	0.182
14.700	62856.000	0.531
14.800	97095.000	0.820
14.900	84205.000	0.711
15.000	47650.000	0.403
15.100	16845.000	0.142
15.200	7787.000	0.066
15.300	9976.000	0.084
15.400	21644.000	0.183
15.500	66263.000	0.560
15.600	118365.000	1.000
15.700	108982.000	0.921
15.800	65996.000	0.558
15.900	32439.000	0.274
16.000	15314.000	0.129
16.100	8052.000	0.068
16.200	4989.000	0.042
16.300	4138.000	0.035
16.400	3397.000	0.029
16.500	2748.000	0.023
16.600	2543.000	0.021
16.700	2559.000	0.022
16.800	2373.000	0.020
16.900	1252.000	0.011
