Arrival Time	full	INorm(full)
(ms)	(arb. units)	(max)
-4.960	-0.007	-0.008
-4.913	-0.007	-0.008
-4.865	-0.007	-0.008
-4.817	-0.007	-0.008
-4.770	-0.007	-0.008
-4.722	-0.007	-0.008
-4.674	-0.007	-0.008
-4.627	-0.007	-0.008
-4.579	-0.007	-0.008
-4.531	-0.007	-0.008
-4.483	-0.007	-0.008
-4.436	-0.007	-0.008
-4.388	-0.007	-0.008
-4.340	-0.007	-0.008
-4.293	-0.007	-0.008
-4.245	-0.007	-0.008
-4.197	-0.007	-0.008
-4.150	-0.007	-0.008
-4.102	-0.007	-0.008
-4.054	-0.007	-0.008
-4.006	-0.007	-0.008
-3.959	-0.007	-0.008
-3.911	-0.007	-0.008
-3.863	-0.007	-0.008
-3.816	-0.007	-0.008
-3.768	-0.007	-0.008
-3.720	-0.007	-0.008
-3.673	-0.007	-0.008
-3.625	-0.007	-0.008
-3.577	-0.007	-0.008
-3.530	-0.007	-0.008
-3.482	-0.007	-0.008
-3.434	-0.007	-0.008
-3.386	-0.007	-0.008
-3.339	-0.007	-0.008
-3.291	-0.007	-0.008
-3.243	-0.007	-0.008
-3.196	-0.007	-0.008
-3.148	-0.007	-0.008
-3.100	-0.007	-0.008
-3.053	-0.007	-0.008
-3.005	-0.007	-0.008
-2.957	-0.007	-0.008
-2.909	-0.007	-0.008
-2.862	-0.007	-0.008
-2.814	-0.007	-0.008
-2.766	-0.007	-0.008
-2.719	-0.007	-0.008
-2.671	-0.007	-0.008
-2.623	-0.007	-0.008
-2.576	-0.007	-0.008
-2.528	-0.007	-0.008
-2.480	-0.007	-0.008
-2.433	-0.007	-0.008
-2.385	-0.007	-0.008
-2.337	-0.007	-0.008
-2.289	-0.007	-0.008
-2.242	-0.007	-0.008
-2.194	-0.007	-0.008
-2.146	-0.007	-0.008
-2.099	-0.007	-0.008
-2.051	-0.007	-0.008
-2.003	-0.007	-0.008
-1.956	-0.007	-0.008
-1.908	-0.007	-0.008
-1.860	-0.007	-0.008
-1.812	-0.007	-0.008
-1.765	-0.007	-0.008
-1.717	-0.007	-0.008
-1.669	-0.007	-0.008
-1.622	-0.007	-0.008
-1.574	-0.007	-0.008
-1.526	-0.007	-0.008
-1.479	-0.007	-0.008
-1.431	-0.007	-0.008
