Arrival Time	full	INorm(full)
(ms)	(arb. units)	(max)
15.500	166.000	0.002
15.600	85.000	0.001
15.700	78.000	0.001
15.800	76.000	0.001
15.900	77.000	0.001
16.000	181.000	0.002
16.100	400.000	0.004
16.200	318.000	0.003
16.300	805.000	0.008
16.400	3295.000	0.033
16.500	8794.000	0.088
16.600	23367.000	0.233
16.700	48049.000	0.478
16.800	78928.000	0.785
16.900	100484.000	1.000
17.000	89971.000	0.895
17.100	60532.000	0.602
17.200	37937.000	0.378
17.300	34042.000	0.339
17.400	46604.000	0.464
17.500	61399.000	0.611
17.600	82824.000	0.824
17.700	99758.000	0.993
17.800	96984.000	0.965
17.900	85184.000	0.848
18.000	51211.000	0.510
18.100	28325.000	0.282
18.200	15072.000	0.150
18.300	9814.000	0.098
18.400	7113.000	0.071
18.500	6095.000	0.061
18.600	5441.000	0.054
18.700	3373.000	0.034
18.800	3062.000	0.030
18.900	2648.000	0.026
19.000	2503.000	0.025
19.100	2156.000	0.021
19.200	2142.000	0.021
19.300	1192.000	0.012
19.400	1687.000	0.017
19.500	1499.000	0.015
19.600	1157.000	0.012
19.700	1201.000	0.012
19.800	1272.000	0.013
19.900	1352.000	0.013
