Time,Z,,,,,,,,,
0,1,,,,,,,,,
2880,0.96573026,,,,,,,,,
5760,0.935686092,,,,,,,,,
8640,0.906358937,,,,,,,,,
11520,0.834857538,,,,,,,,,
14400,0.798440914,,,,,,,,,
17280,0.777370066,,,,,,,,,
20160,0.772322209,,,,,,,,,
23040,0.739563716,,,,,,,,,
25920,0.694492486,,,,,,,,,
28800,0.701425136,,,,,,,,,
31680,0.650099252,,,,,,,,,
34560,0.627354049,,,,,,,,,
37440,0.599561859,,,,,,,,,
40320,0.574355365,,,,,,,,,
43200,0.56133979,,,,,,,,,
46080,0.558605873,,,,,,,,,
48960,0.527306968,,,,,,,,,
51840,0.498293107,,,,,,,,,
54720,0.476134814,,,,,,,,,
57600,0.461232911,,,,,,,,,
60480,0.445284356,,,,,,,,,
63360,0.428654724,,,,,,,,,
66240,0.417484389,,,,,,,,,
69120,0.416561261,,,,,,,,,
72000,0.388984035,,,,,,,,,
74880,0.383198231,,,,,,,,,
77760,0.358274769,,,,,,,,,
80640,0.352343869,,,,,,,,,
83520,0.334087989,,,,,,,,,
86400,0.3199642,,,,,,,,,
89280,0.317210053,,,,,,,,,
92160,0.29844857,,,,,,,,,
95040,0.28304897,,,,,,,,,
97920,0.278168816,,,,,,,,,
100800,0.272732292,,,,,,,,,
103680,0.263017255,,,,,,,,,
106560,0.255465488,,,,,,,,,
109440,0.244007733,,,,,,,,,
112320,0.235220265,,,,,,,,,
115200,0.231175326,,,,,,,,,
118080,0.21960696,,,,,,,,,
120960,0.193032015,,,,,,,,,
123840,0.201977401,,,,,,,,,
126720,0.200960636,,,,,,,,,
129600,0.190416405,,,,,,,,,
132480,0.169844633,,,,,,,,,
135360,0.170377061,,,,,,,,,
138240,0.164783427,,,,,,,,,
141120,0.163719368,,,,,,,,,
144000,0.152435774,,,,,,,,,
146880,0.148695019,,,,,,,,,
149760,0.135234508,,,,,,,,,
152640,0.136432807,,,,,,,,,
155520,0.125779644,,,,,,,,,
158400,0.12694427,,,,,,,,,
161280,0.122775951,,,,,,,,,
164160,0.127337286,,,,,,,,,
167040,0.11699415,,,,,,,,,
169920,0.111620559,,,,,,,,,
172800,0.099661684,,,,,,,,,
175680,0.108141832,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
