Time,Z
0,1
644,0.835913763
1288,0.732728209
1932,0.606407053
2576,0.541612126
3220,0.485595558
3864,0.417632881
4508,0.371252919
5152,0.331243232
5796,0.288810014
6440,0.258703144
7084,0.227022659
7728,0.203143452
8372,0.187874382
9016,0.16321576
9660,0.142045411
10304,0.127743456
10948,0.116486514
11592,0.105848848
12236,0.09250797
12880,0.081524795
13524,0.073054281
14168,0.063423183
14812,0.059589115
15456,0.050787083
16100,0.046781842
16744,0.042569565
17388,0.036181299
18032,0.039679759
18676,0.027996469
19320,0.02455942
19964,0.023083496
20608,0.021981679
21252,0.021823138
21896,0.01627809
